epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.843,2.32068,2.66347,4.76723,1.71956,0.29171,0.45399,0.25216,0.08592,0.28235,0.45379,0.23872,0.08029,2.19192,2.24175,4.00114,1.91914,0.000663636,0.000663636,0.000663636
2,253.286,2.03381,2.17489,3.52394,1.46824,0.30203,0.37698,0.25987,0.10721,0.29256,0.35583,0.23839,0.08567,1.97123,2.15857,3.8544,1.83003,0.00126445,0.00126445,0.00126445
3,367.969,2.00364,2.0073,3.72427,1.45543,0.42623,0.4284,0.37608,0.18715,0.40686,0.38716,0.35697,0.16663,2.06982,2.39237,3.64933,2.00284,0.00179927,0.00179927,0.00179927
4,483.794,2.03071,1.96437,3.69463,1.43844,0.28295,0.41104,0.28566,0.10212,0.2956,0.39264,0.27306,0.09879,2.01374,2.21221,3.39425,1.71824,0.001703,0.001703,0.001703
5,598.904,1.82897,1.83926,3.17987,1.36346,0.24566,0.47239,0.22625,0.09579,0.22557,0.3865,0.20818,0.08501,1.80912,1.94885,3.39456,1.78433,0.001604,0.001604,0.001604
6,713.735,1.77087,1.94364,3.30478,1.32653,0.67022,0.43558,0.53698,0.24372,0.52209,0.42331,0.45936,0.20757,1.71469,2.03002,2.52179,1.66848,0.001505,0.001505,0.001505
7,828.828,1.79133,1.95752,2.49777,1.31939,0.45478,0.44785,0.44009,0.18777,0.40075,0.4267,0.35962,0.15854,1.85038,2.0668,2.44081,1.68362,0.001406,0.001406,0.001406
8,943.926,1.76835,1.76713,2.65535,1.27114,0.47115,0.57669,0.46866,0.23467,0.42383,0.57055,0.43056,0.20887,1.62681,1.95773,2.33567,1.59771,0.001307,0.001307,0.001307
9,1058.55,1.65048,1.79176,2.5099,1.24772,0.52671,0.4984,0.51972,0.21356,0.49473,0.46254,0.47355,0.19906,1.73013,1.90436,2.36434,1.54173,0.001208,0.001208,0.001208
10,1173.53,1.56686,1.82231,2.17633,1.22504,0.50073,0.4984,0.45882,0.18447,0.4596,0.47853,0.41547,0.16292,1.82308,1.95362,2.84485,1.65706,0.001109,0.001109,0.001109
11,1331.05,1.4649,1.43704,3.23306,1.07883,0.49123,0.37423,0.43792,0.15656,0.39953,0.40005,0.36408,0.13088,1.86886,1.85978,2.33718,1.70604,0.00101,0.00101,0.00101
12,1444.82,1.425,1.47241,2.9818,1.03703,0.4001,0.42962,0.40058,0.1816,0.38276,0.41468,0.36935,0.17079,1.82559,1.91568,2.21425,1.57792,0.000911,0.000911,0.000911
13,1561.16,1.42253,1.38039,2.85985,1.02032,0.54792,0.44785,0.48522,0.22531,0.51847,0.42945,0.43785,0.20638,1.95916,1.944,2.19974,1.61418,0.000812,0.000812,0.000812
14,1674.46,1.38712,1.37565,2.63267,1.02864,0.51616,0.49693,0.49741,0.24161,0.47155,0.45399,0.45342,0.20481,1.67686,1.94818,1.96233,1.5181,0.000713,0.000713,0.000713
15,1787.21,1.29763,1.31419,2.47891,0.97288,0.43632,0.39416,0.37762,0.19171,0.36615,0.43558,0.33505,0.17034,1.7876,2.18586,2.07722,1.5698,0.000614,0.000614,0.000614
16,1901.06,1.23075,1.28198,2.35163,0.95045,0.6052,0.44785,0.51723,0.24756,0.58033,0.42945,0.47868,0.21876,1.64394,1.98016,1.90615,1.48113,0.000515,0.000515,0.000515
17,2013.68,1.26242,1.28442,2.32038,0.94583,0.55754,0.48704,0.4899,0.24063,0.56697,0.47853,0.47239,0.21562,1.67988,2.23904,2.05339,1.62675,0.000416,0.000416,0.000416
18,2128.21,1.18419,1.32121,2.17336,0.92358,0.34678,0.40491,0.34257,0.17454,0.39362,0.39824,0.32927,0.15591,1.73827,2.10096,2.40087,1.56125,0.000317,0.000317,0.000317
19,2240.96,1.21431,1.26295,2.1184,0.94095,0.32781,0.44172,0.32895,0.16819,0.36119,0.38037,0.31341,0.1496,1.68703,2.18397,2.44939,1.52476,0.000218,0.000218,0.000218
20,2353.83,1.14241,1.28093,2.05134,0.92411,0.54442,0.35583,0.36987,0.17622,0.53663,0.34815,0.35293,0.1589,1.91491,2.18353,2.41892,1.61313,0.000119,0.000119,0.000119
